접수년월,경찰서명,신고건수전체,신고성별남성,신고성별여성,신고성별불상,신고성별기타,접수긴급유형긴급,접수긴급유형중요,접수긴급유형일반,접수긴급유형민원,접수긴급유형기타,발생요일일요일,발생요일월요일,발생요일화요일,발생요일수요일,발생요일목요일,발생요일금요일,발생요일토요일,발생시간대00,발생시간대01,발생시간대02,발생시간대03,발생시간대04,발생시간대05,발생시간대06,발생시간대07,발생시간대08,발생시간대09,발생시간대10,발생시간대11,발생시간대12,발생시간대13,발생시간대14,발생시간대15,발생시간대16,발생시간대17,발생시간대18,발생시간대19,발생시간대20,발생시간대21,발생시간대22,발생시간대23
202312,서울관악,42,25,7,10,0,1,3,38,0,0,4,7,0,8,5,14,4,12,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,1,0,6,8,6
202312,서울구로,32,20,9,3,0,0,2,30,0,0,11,3,5,2,2,1,8,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4,2,5,9,2,2
202312,서울중부,6,2,2,2,0,0,0,6,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
202312,서울은평,38,15,8,15,0,0,4,31,3,0,7,4,2,4,3,13,5,1,0,0,2,0,0,0,0,0,1,2,0,0,1,2,0,6,4,3,4,4,4,2,2
202312,서울방배,6,2,2,2,0,0,0,6,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1
202312,서울남대문,6,5,0,1,0,0,0,6,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0
202312,서울마포,102,45,24,33,0,0,4,95,2,1,16,20,17,10,6,14,19,2,5,3,0,0,0,0,2,0,0,0,0,1,0,1,7,5,11,16,8,9,17,13,2
202312,서울종로,3,2,1,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
202312,서울용산,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
202312,ETC,462,268,104,90,0,0,25,389,26,22,81,38,57,65,44,94,83,15,10,14,10,8,1,3,2,3,1,1,2,5,9,19,29,39,33,29,30,51,46,59,43
