,시군구명,시설코드,조성년월,설치대수,데이터 기준일자
829,중구,305,,1,20221014
830,중구,302,,4,20221014
831,중구,304,,1,20221014
832,중구,304,,1,20221014
833,중구,302,,1,20221014
834,중구,305,,2,20221014
835,중구,304,,1,20221014
836,중구,305,,1,20221014
837,중구,307,,1,20221014
838,중구,302,,1,20221014
839,중구,305,,1,20221014
840,중구,307,,1,20221014
841,중구,301,,1,20221014
842,중구,304,,1,20221014
843,중구,305,,1,20221014
844,중구,305,,1,20221014
845,중구,307,,1,20221014
846,중구,304,,1,20221014
847,중구,307,,1,20221014
848,중구,305,,1,20221014
849,중구,305,,1,20221014
850,중구,301,,1,20221014
851,중구,302,,2,20221014
852,중구,305,,1,20221014
853,중구,304,,1,20221014
854,중구,307,,1,20221014
855,용산구,304,,1,20220906
856,용산구,305,,1,20220906
857,용산구,307,,1,20220906
858,용산구,305,,1,20220906
859,용산구,302,,1,20220906
860,용산구,301,,1,20220906
861,용산구,302,,1,20220906
862,용산구,305,,1,20220906
863,용산구,307,,1,20220906
864,용산구,304,,1,20220906
865,용산구,305,,1,20220906
866,용산구,307,,1,20220906
867,용산구,305,,1,20220906
868,용산구,305,,1,20220906
869,용산구,304,,1,20220906
870,용산구,307,,1,20220906
871,용산구,305,,1,20220906
872,용산구,307,,1,20220906
873,용산구,305,,1,20220906
874,용산구,304,,1,20220906
875,용산구,304,,1,20220906
876,용산구,307,,1,20220906
877,용산구,305,,1,20220906
878,용산구,304,,1,20220906
879,용산구,304,,1,20220906
880,용산구,307,,1,20220906
881,용산구,305,,1,20220906
882,용산구,305,,1,20220906
883,용산구,305,,1,20220906
884,용산구,302,,1,20220906
885,용산구,301,,1,20220906
886,용산구,305,,1,20220906
887,용산구,305,,1,20220906
888,용산구,305,,1,20220906
889,용산구,305,,1,20220906
890,용산구,301,,1,20220906
891,용산구,305,,1,20220906
892,용산구,305,,1,20220906
893,용산구,305,,1,20220906
894,용산구,305,,1,20220906
895,용산구,305,,1,20220906
896,용산구,307,,1,20220906
897,용산구,305,,1,20220906
898,용산구,304,,1,20220906
899,용산구,305,,1,20220906
900,용산구,305,,1,20220906
901,용산구,302,,1,20220906
902,용산구,305,,1,20220906
903,용산구,307,,1,20220906
904,용산구,304,,1,20220906
905,용산구,305,,1,20220906
906,용산구,305,,1,20220906
907,용산구,301,,1,20220906
908,용산구,305,,1,20220906
909,용산구,302,,1,20220906
910,용산구,307,,1,20220906
911,용산구,305,,1,20220906
912,용산구,305,,1,20220906
913,용산구,305,,1,20220906
914,용산구,304,,1,20220906
915,용산구,301,,1,20220906
916,용산구,305,,1,20220906
917,용산구,302,,1,20220906
918,용산구,305,,1,20220906
919,용산구,304,,1,20220906
920,용산구,305,,2,20220906
921,용산구,307,,1,20220906
922,용산구,307,,1,20220906
923,용산구,305,,1,20220906
924,용산구,304,,1,20220906
925,용산구,305,,1,20220906
926,용산구,305,,1,20220906
927,용산구,301,,1,20220906
928,용산구,305,,1,20220906
929,용산구,302,,1,20220906
930,용산구,304,,1,20220906
